,song_name,artist_name,a_age,time
0,Like Ice Spice,Blaqbonez,1996-01-29,02:03
1,Defender,Frankie Jay,,02:04
2,Ngozi ,Crayon,,03:41
3,Sharpally,Young Jonn,1995-02-16,02:43
4,Lonely At The Top,Asake,1995-01-13,02:37
5,Honey,Zuchu,,02:19
6,Babylon ,Patoranking,1990-05-27,02:57
7,Mahaba,Alikiba,,03:16
8,Sele ,Mbosso,1991-10-03,04:12
9,Alone (Speed Up),Neeja,,01:20
10,Jara,Khaid,2004-12-10,02:40
11,Ebenezer (Live) ,Nathaniel Bassey,1981-08-27,08:31
12,Aje,Badwolf,2005-06-11,03:10
13,Ole ,Qing Madi,,02:51
14,Anabella,Khaid,2004-12-10,02:04
15,Break Up,Oladapo,,03:02
16,Gaza,Olamide,1989-03-15,02:14
17,san siro (remix) ,YKB,,03:27
18,Ex Convict,Shallipopi,,03:22
19,Do I,Phyno,1986-10-09,02:35
20,N4U,Eltee Skhillz,,02:29
21,Unleash ,Poco Lee,,02:21
22,VIBRATION,derriq,,03:06
23,Obapluto,Shallipopi,,02:50
24,So Bad,Boy Spyce,,03:01
25,Alone,Neeja,,03:23
26,Karma,Seyi Vibez,1990-07-12,02:34
27,Ogaranya,Adekunle Gold,1987-01-28,02:48
28,Man of The Year,Seyi Vibez,1990-07-12,02:24
29,Basquiat,Asake,1995-01-13,02:14
30,FEEL,Davido,1992-11-21,02:34
31,Dejavu,Seyi Vibez,1990-07-12,02:41
32,B'Ola (Honour),Sunmisola Agbebi,1998-05-02,05:24
33,Joy in Chaos,Holy drill,,01:10
34,Elon musk,Shallipopi,,03:15
35,Ride for U ,Victorano,,03:00
36,DECLAN RICE,ODUMODUBLVCK,,02:04
37,Terminator,King Promise,,03:54
38,Wonder,Mercy Chinwo,1991-09-05,03:54
39,reason,Omah Lay,1997-05-19,02:27
40,Mogbe,Asake,1995-01-13,02:59
41,Joha,Asake,1995-01-13,02:28
42,Normal,Burna Boy,1991-07-02,02:04
43,Hollow,Mercy Chinwo,1991-09-05,03:58
44,My Baby (feat. Chike),Diamond Platnumz,,03:32
45,Hat-trick,Seyi Vibez,1990-07-12,02:40
46,Dog Eat Dog,ODUMODUBLVCK,,02:29
47,OVER DEM,Davido,1992-11-21,03:18
48,UNAVAILABLE ,Davido,1992-11-21,02:49
49,Olorun,Asake,1995-01-13,02:36
50,Dull,Asake,1995-01-13,01:40
51,soso,Omah Lay,1997-05-19,03:03
52,Aquafina,Young Jonn,1995-02-16,02:48
53,PICANTO ,ODUMODUBLVCK,,03:04
54,On Form,Burna Boy,1991-07-02,03:43
55,City Boys,Burna Boy,1991-07-02,02:33
56,Ahead Ahead,Shallipopi,,03:32
57,2:30,Asake,1995-01-13,02:18
58,Terminator,Asake,1995-01-13,02:35
59,I Told Them ,Burna Boy,1991-07-02,03:09
60,One Side (Remix) [with Mayorkun & Tekno],Iyanya,1986-10-31,03:18
61,TOBECHUKWU ,Nathaniel Bassey,1981-08-27,08:07
62,Bullion Van,Seyi Vibez,1990-07-12,02:35
63,AWAY,Davido,1992-11-21,02:33
64,Charm,Rema,,03:24
65,NO COMPETITION ,Davido,1992-11-21,02:36
66,Speedometer,Shallipopi,,03:33
67,Kristy,Ruger,,04:20
68,GoodSin,Olivetheboy,,02:20
69,"Tested, Approved & Trusted",Burna Boy,1991-07-02,03:40
70,We Up ,Balloranking,,03:44
71,Sunshine,Asake,1995-01-13,03:05
72,I Will Pray,Ebuka Songs,,02:50
73,Ototo,Asake,1995-01-13,02:36
74,Hushpuppi,Seyi Vibez,1990-07-12,02:42
75,Still Sober ,Aguero Banks,,03:46
76,i'm a mess,Omah Lay,1997-05-19,02:33
77,What's Poppin ,Stefflon Don,1991-12-14,03:15
78,Stay High,Juice WRLD,1998-12-02,02:48
79,FOR THE ROAD,Davido,1992-11-21,02:27
80,Darling ,Seyi Vibez,1990-07-12,02:55
81,Common Person,Burna Boy,1991-07-02,03:30
82,KANTE ,Davido,1992-11-21,03:14
83,Ojapiano,Kcee,,02:48
84,Nzaza,Asake,1995-01-13,03:03
85,Big 7,Burna Boy,1991-07-02,02:23
86,Spending,Johnny Drille,1990-07-05,02:46
87,JELO ,Pheelz,1994-06-05,02:25
88,Jinja,Olamide,1989-03-15,02:35
89,A1 (Feeling Disorder),Zinoleesky,,02:05
90,For My Hand ,Burna Boy,1991-07-02,02:39
91,Amapiano ,Asake,1995-01-13,02:45
92,Organise,Asake,1995-01-13,02:03
93,E PAIN ME,Davido,1992-11-21,03:03
94,Billion Dollar,Seyi Vibez,1990-07-12,02:24
95,Cheat On Me ,Burna Boy,1991-07-02,03:42
96,Many Things,Zinoleesky,,02:47
97,Sungba (Remix) ,Asake,1995-01-13,03:30
98,Water,Tyla,,03:20
99,DOG EAT DOG II ,ODUMODUBLVCK,,04:00
100,Bad Influence,Omah Lay,1997-05-19,02:18
101,Para Boi,Seyi Vibez,1990-07-12,02:37
102,All My Life ,Lil Durk,1992-10-19,03:43
103,Amazing God,Mercy Chinwo,1991-09-05,04:56
