,song_name,artist_name,dob,time,age
0,Like Ice SpiceBlaqbonez,Blaqbonez,1996-01-29,02:03,27.0
1,DefenderFrankie Jay,Frankie Jay,,02:04,
2,Ngozi ,Crayon,,03:41,
3,SharpallyYoung Jonn,Young Jonn,1995-02-16,02:43,28.0
4,Lonely At The TopAsake,Asake,1995-01-13,02:37,28.0
5,HoneyZuchu,Zuchu,,02:19,
6,Babylon ,Patoranking,1990-05-27,02:57,33.0
7,MahabaAlikiba,Alikiba,,03:16,
8,Sele ,Mbosso,1991-10-03,04:12,32.0
9,Alone (Speed Up)Neeja,Neeja,,01:20,
10,JaraKhaid,Khaid,2004-12-10,02:40,19.0
11,Ebenezer (Live) ,Nathaniel Bassey,1981-08-27,08:31,42.0
12,AjeBadwolf,Badwolf,2005-06-11,03:10,18.0
13,Ole ,Qing Madi,,02:51,
14,AnabellaKhaid,Khaid,2004-12-10,02:04,19.0
15,Break UpOladapo,Oladapo,,03:02,
16,GazaOlamide,Olamide,1989-03-15,02:14,34.0
17,san siro (remix) ,YKB,,03:27,
18,Ex ConvictShallipopi,Shallipopi,,03:22,
19,Do IPhyno,Phyno,1986-10-09,02:35,37.0
20,N4UEltee Skhillz,Eltee Skhillz,,02:29,
21,Unleash ,Poco Lee,,02:21,
22,VIBRATIONderriq,derriq,,03:06,
23,ObaplutoShallipopi,Shallipopi,,02:50,
24,So BadBoy Spyce,Boy Spyce,,03:01,
25,AloneNeeja,Neeja,,03:23,
26,KarmaSeyi Vibez,Seyi Vibez,1990-07-12,02:34,33.0
27,OgaranyaAdekunle Gold,Adekunle Gold,1987-01-28,02:48,36.0
28,Man of The YearSeyi Vibez,Seyi Vibez,1990-07-12,02:24,33.0
29,BasquiatAsake,Asake,1995-01-13,02:14,28.0
